更新时间,#genre#
2024-10-19 06:36:10,url
📺央视频道,#genre#
CCTV-1,http://171.118.211.120:8083/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://60.220.167.223:8084/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://118.183.212.29:6868/rtp/239.255.30.101:8231$1920x1080
CCTV-1,http://110.177.146.171:888/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://223.10.0.119:8082/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://223.10.0.119:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$1920x1080
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8$1920x1080
CCTV-1,http://223.10.24.65:8083/udp/239.1.1.7:8007$1920x1080
CCTV-1,http://110.178.77.222:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://223.10.3.122:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://1.70.35.224:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://114.228.152.10:8888/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://27.10.74.30:8004/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://125.82.168.238:8888/rtp/235.254.198.51:1480$1920x1080
CCTV-1,http://114.243.106.31:8822/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://106.86.155.84:20002/rtp/235.254.198.51:1480$1920x1080
CCTV-1,http://118.251.61.206:8888/rtp/239.76.253.151:9000$1920x1080
CCTV-1,http://183.191.38.205:8002/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://171.120.57.212:8001/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://49.84.200.230:8888/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://183.188.23.41:6000/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://218.78.180.91:9999/rtp/239.45.3.145:5140$1920x1080
CCTV-1,http://58.48.200.208:12312/rtp/239.254.96.96:8550$1920x1080
CCTV-1,http://115.239.107.168:9999/rtp/233.50.201.222:5140$1920x1080
CCTV-1,http://27.9.90.123:8002/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://222.134.245.16:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
CCTV-1,http://114.228.88.162:9004/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://120.6.7.108:4022/rtp/239.253.92.83:8012$1920x1080
CCTV-1,http://112.226.139.185:9999/rtp/239.253.254.77:8000$1920x1080
CCTV-2,https://livednow.com/migu/631780532?sign=gAAAAABmxHgUnAvEb33tHD9hTm-x8LUM8wdp7UNp8vG_QGzfBRymJcJ-qRZkuO8iC9C4jvmjR4JkCfpD2ahIj6YDLYc7I9zvSFX3TfVl-AEPw3Cr4tW6jEgf_21OyqfRJVr9Ur7eHN66lC0Vkm577g_N_DMJA7tvJB1VXzu8XvvBj9PfMX661WuanhS0hudEg28SveMbwkSCb9figgsldzEbo7jwMQVZ4A%3D%3D$1920x1080
CCTV-2,http://58.216.229.130:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://222.134.245.16:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
CCTV-2,http://123.138.216.44:9902/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://111.9.163.109:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://220.249.114.102:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://118.122.189.74:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://210.22.75.86:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://58.48.37.158:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://61.136.67.238:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://112.234.23.81:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://119.163.57.184:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://113.57.20.158:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://122.139.47.206:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://221.213.69.82:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://59.173.243.210:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://58.48.5.186:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://58.220.219.14:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://58.57.21.166:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://175.0.32.62:8081/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://61.157.139.15:9901/tsfile/live/2372_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://36.35.16.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3,http://175.0.32.62:8081/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://58.48.5.186:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://58.48.37.158:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
